#                                                                                                                                                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                                                                                                                        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                                                                                                                ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Ursus_arctos____carnivora_XP_026338220.1_LOW_QUALITY_PROTEIN:_zinc_finger_protein_573_[Ursus_arctos_horribilis]                                      -          humanprotein         -                  0 1785.0 274.8     3e-85  288.3  31.7   6.9   1   1   8   9   9   9   9 -
Ursus_arctos____carnivora_XP_026344106.1_LOW_QUALITY_PROTEIN:_zinc_finger_protein_84-like_[Ursus_arctos_horribilis]                                  -          humanprotein         -                  0 1172.7 201.4   5.1e-74  251.2  31.8   4.7   1   1   5   6   6   6   6 -
Ursus_arctos____carnivora_XP_026364815.1_zinc_finger_protein_648_[Ursus_arctos_horribilis]                                                           -          humanprotein         -                  0 1049.3  35.8         0 1049.1  35.8   1.0   1   0   0   1   1   1   1 -
Ursus_arctos____carnivora_XP_026344621.1_zinc_finger_protein_250_isoform_X4_[Ursus_arctos_horribilis]                                                -          humanprotein         -                  0 1022.4 151.0   4.6e-56  191.9  22.3   6.8   1   1   6   7   7   7   7 -
Ursus_arctos____carnivora_XP_026370392.1_zinc_finger_protein_26_isoform_X11_[Ursus_arctos_horribilis]                                                -          humanprotein         -           4.9e-303 1007.3 158.9   3.3e-82  278.2  38.2   6.3   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026345187.1_zinc_finger_protein_606_isoform_X2_[Ursus_arctos_horribilis]                                                -          humanprotein         -           3.5e-295  981.4 148.3   1.2e-84  286.3  33.9   4.4   1   1   4   5   5   5   4 -
Ursus_arctos____carnivora_XP_026346497.1_LOW_QUALITY_PROTEIN:_zinc_finger_protein_91-like_[Ursus_arctos_horribilis]                                  -          humanprotein         -           3.3e-294  978.2 199.0   4.3e-57  195.3  23.7   9.2   2   2   7   9   9   9   9 -
Ursus_arctos____carnivora_XP_026345846.1_uncharacterized_protein_LOC113248539_[Ursus_arctos_horribilis]                                              -          humanprotein         -           5.2e-293  974.2 158.6   6.6e-72  244.2  26.9   6.1   2   2   4   6   6   6   6 -
Ursus_arctos____carnivora_XP_026363532.1_zinc_finger_protein_2_homolog_isoform_X4_[Ursus_arctos_horribilis]                                          -          humanprotein         -           2.3e-290  965.5 150.6   4.2e-90  304.3  30.8   5.2   1   1   5   6   6   6   6 -
Ursus_arctos____carnivora_XP_026370407.1_LOW_QUALITY_PROTEIN:_zinc_finger_protein_605_[Ursus_arctos_horribilis]                                      -          humanprotein         -             2e-289  962.4 139.7   4.5e-73  248.0  25.5   4.8   1   1   4   5   5   5   5 -
