#                                                                                                                                                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                                                                                                                        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                                                                                                                ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Ursus_arctos____carnivora_XP_026338220.1_LOW_QUALITY_PROTEIN:_zinc_finger_protein_573_[Ursus_arctos_horribilis]                                      -          test1                -                  0 1535.8 264.9   3.9e-89  301.6  38.3   7.9   1   1   7   8   8   8   8 -
Ursus_arctos____carnivora_XP_026344621.1_zinc_finger_protein_250_isoform_X4_[Ursus_arctos_horribilis]                                                -          test1                -                  0 1176.4 190.7  9.7e-104  349.8  45.0   7.1   1   1   5   6   6   6   6 -
Ursus_arctos____carnivora_XP_026345846.1_uncharacterized_protein_LOC113248539_[Ursus_arctos_horribilis]                                              -          test1                -                  0 1139.6 209.9   8.9e-95  320.2  42.9   6.1   2   2   4   6   6   6   6 -
Ursus_arctos____carnivora_XP_026351966.1_zinc_finger_protein_271_isoform_X2_[Ursus_arctos_horribilis]                                                -          test1                -                  0 1126.4 157.7   1.3e-85  290.0  32.2   6.4   1   1   5   6   6   5   5 -
Ursus_arctos____carnivora_XP_026364815.1_zinc_finger_protein_648_[Ursus_arctos_horribilis]                                                           -          test1                -                  0 1103.7  33.4         0 1103.5  33.4   1.0   1   0   0   1   1   1   1 -
Ursus_arctos____carnivora_XP_026345169.1_zinc_finger_protein_850-like_isoform_X2_[Ursus_arctos_horribilis]                                           -          test1                -                  0 1075.7 229.7   2.5e-88  299.0  41.0   6.3   1   1   6   7   7   7   7 -
Ursus_arctos____carnivora_XP_026346497.1_LOW_QUALITY_PROTEIN:_zinc_finger_protein_91-like_[Ursus_arctos_horribilis]                                  -          test1                -                  0 1062.0 219.1   5.6e-63  215.2  34.4   9.3   2   2   7   9   9   9   9 -
Ursus_arctos____carnivora_XP_026338093.1_LOW_QUALITY_PROTEIN:_zinc_finger_protein_780A-like_[Ursus_arctos_horribilis]                                -          test1                -                  0 1047.0 176.2     1e-61  211.1  22.0   6.1   1   1   5   6   6   6   6 -
Ursus_arctos____carnivora_XP_026345856.1_zinc_finger_protein_470_isoform_X4_[Ursus_arctos_horribilis]                                                -          test1                -                  0 1014.3 155.6   1.6e-99  335.9  52.8   5.8   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026363532.1_zinc_finger_protein_2_homolog_isoform_X4_[Ursus_arctos_horribilis]                                          -          test1                -                  0 1011.9 169.4   2.1e-98  332.2  37.7   5.9   1   1   5   6   6   6   6 -
Ursus_arctos____carnivora_XP_026345187.1_zinc_finger_protein_606_isoform_X2_[Ursus_arctos_horribilis]                                                -          test1                -           6.3e-302 1004.1 170.0   2.7e-81  275.7  37.3   4.3   1   1   4   5   5   5   4 -
Ursus_arctos____carnivora_XP_026338201.1_zinc_finger_protein_585A-like_[Ursus_arctos_horribilis]                                                     -          test1                -           1.9e-300  999.3 138.1   7.4e-83  280.9  30.9   5.6   1   1   5   6   6   5   5 -
Ursus_arctos____carnivora_XP_026370407.1_LOW_QUALITY_PROTEIN:_zinc_finger_protein_605_[Ursus_arctos_horribilis]                                      -          test1                -             1e-292  973.7 155.0   1.5e-84  286.5  33.5   5.5   2   1   4   6   6   5   5 -
Ursus_arctos____carnivora_XP_026370372.1_zinc_finger_protein_268_isoform_X2_[Ursus_arctos_horribilis]                                                -          test1                -           5.5e-291  968.0 145.2   2.9e-86  292.1  34.6   4.6   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026370369.1_zinc_finger_protein_268_isoform_X1_[Ursus_arctos_horribilis]                                                -          test1                -           5.5e-291  968.0 145.1   2.9e-86  292.1  34.6   4.6   1   1   4   5   5   5   5 -
Ursus_arctos____carnivora_XP_026370370.1_zinc_finger_protein_268_isoform_X1_[Ursus_arctos_horribilis]                                                -          test1                -           5.5e-291  968.0 145.1   2.9e-86  292.1  34.6   4.6   1   1   4   5   5   5   5 -
